TransactionID,TransactionDate,TransactionAmount,Location,IP Address,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance
TX000039,2023-10-12 17:07:40,795.31,Mesa,49.29.37.185,ATM,66,Doctor,90,2,7914.88
TX000118,2024-01-01 16:34:10,56.98,Oklahoma City,101.90.40.193,ATM,43,Engineer,122,2,5688.37
TX000168,2023-05-02 17:03:29,506.28,Chicago,110.150.1.201,Online,53,Retired,162,2,1309.95
TX000232,2023-02-20 18:41:43,705.6,Phoenix,205.45.234.42,Branch,40,Doctor,124,3,14804.7
TX000267,2023-04-17 16:50:45,66.9,Charlotte,138.210.196.19,Online,79,Retired,129,4,5238.71
TX000275,2023-12-20 16:08:02,1176.28,Kansas City,50.202.8.53,ATM,54,Engineer,174,5,323.69
TX000284,2023-07-10 16:37:11,362.04,Philadelphia,52.1.78.30,Branch,58,Doctor,198,2,8421.88
TX000341,2023-03-01 16:31:58,1830.0,San Antonio,62.27.235.199,Online,55,Engineer,238,1,2235.7
TX000376,2023-11-20 16:51:14,1392.54,El Paso,63.67.150.226,Branch,41,Doctor,297,1,13347.69
TX000395,2023-12-14 18:52:54,6.3,Columbus,210.160.90.52,Branch,80,Retired,283,5,7697.68
TX000455,2023-10-18 18:32:31,611.11,Detroit,141.201.46.191,ATM,20,Student,282,4,919.84
TX000467,2023-11-20 16:27:31,445.41,Fresno,185.23.87.107,ATM,35,Doctor,235,3,12154.66
TX000477,2023-10-16 16:55:44,53.81,Raleigh,34.86.220.205,ATM,55,Engineer,37,2,2564.62
TX000509,2023-09-15 17:09:41,127.0,Nashville,154.138.163.229,Branch,19,Student,68,5,431.16
TX000552,2023-04-14 17:21:48,106.16,Phoenix,48.89.167.189,ATM,56,Doctor,277,4,7487.79
TX000589,2023-06-19 17:31:08,178.88,Dallas,38.210.156.148,Branch,76,Retired,93,4,4708.29
TX000594,2023-11-17 17:59:11,139.57,Fort Worth,13.30.106.126,ATM,19,Student,263,3,271.78
TX000615,2023-04-28 18:11:55,1342.25,Fort Worth,28.149.72.129,Branch,21,Student,235,1,694.03
TX000654,2023-06-27 17:48:25,1919.11,Portland,207.157.126.125,ATM,30,Doctor,161,1,11090.24
TX000666,2023-08-07 16:57:22,152.18,Los Angeles,40.244.94.218,Online,39,Engineer,176,4,2459.84
TX000692,2023-10-16 18:53:31,25.94,San Jose,42.219.228.159,Online,58,Retired,211,5,4815.11
TX000755,2023-06-08 16:27:56,84.34,Memphis,200.136.146.93,Online,58,Retired,248,3,5313.97
TX000773,2023-01-17 17:25:13,827.14,El Paso,215.97.143.157,Branch,36,Engineer,265,4,9800.21
TX000794,2023-03-15 16:33:09,408.28,Nashville,142.148.226.178,Branch,21,Student,125,3,1222.77
TX000808,2023-11-07 17:38:05,668.67,Detroit,184.59.28.72,Online,44,Doctor,143,4,13446.81
TX000899,2023-10-23 18:00:29,1531.31,San Diego,91.204.200.167,Online,18,Student,62,4,859.86
TX000933,2023-04-03 16:01:51,76.51,Mesa,200.22.195.243,Online,49,Engineer,120,4,9475.4
TX000954,2023-04-10 17:53:04,119.95,Philadelphia,214.32.109.197,Branch,62,Retired,47,5,2596.61
TX000962,2023-08-11 17:57:52,353.59,New York,198.24.183.157,Branch,52,Retired,109,5,1822.34
TX000982,2023-03-06 17:05:25,460.09,Fresno,188.77.83.72,Online,35,Doctor,146,3,6990.64
TX000994,2023-07-31 16:26:33,29.91,Philadelphia,113.21.93.28,Online,76,Retired,43,3,2834.84
TX001058,2023-01-06 16:13:53,83.07,Miami,138.210.196.19,Branch,27,Engineer,291,4,6704.76
TX001157,2023-08-30 18:38:56,917.81,Kansas City,42.61.10.112,ATM,64,Retired,75,2,3173.17
TX001162,2023-10-17 17:46:52,484.3,Boston,93.160.83.196,Online,61,Retired,230,3,7910.3
TX001214,2023-12-21 16:21:27,1192.2,Jacksonville,40.10.25.102,Branch,60,Retired,103,5,7816.41
TX001284,2023-07-07 17:40:58,170.19,Los Angeles,110.150.1.201,Branch,27,Student,156,5,745.87
TX001300,2023-04-25 17:15:27,314.55,Dallas,40.192.99.27,Branch,27,Student,19,2,1105.89
TX001310,2023-03-10 16:22:05,470.96,Indianapolis,106.244.1.47,Online,69,Doctor,124,2,12991.03
TX001439,2023-09-15 17:31:42,1831.02,Columbus,141.121.30.32,Online,62,Doctor,83,1,11498.01
TX001558,2023-06-13 17:26:54,262.43,San Diego,172.184.35.29,Online,37,Doctor,274,5,12841.01
TX001626,2023-09-25 16:51:23,1360.01,Phoenix,5.252.94.135,Branch,67,Retired,218,1,6601.5
TX001660,2023-12-05 16:01:44,53.79,Philadelphia,101.223.82.253,ATM,54,Engineer,137,3,6229.36
TX001704,2023-12-11 16:53:08,1294.81,Washington,76.0.164.168,Branch,45,Engineer,279,1,9927.75
TX001888,2023-09-08 16:09:45,74.11,Virginia Beach,147.119.62.178,Online,69,Retired,71,4,3920.11
TX002054,2023-07-31 16:21:15,58.32,Louisville,87.50.72.69,Branch,29,Engineer,275,4,6027.49
TX002074,2023-02-27 16:07:46,441.26,Tucson,92.180.81.50,Branch,58,Doctor,87,5,13704.92
TX002103,2023-11-29 17:38:53,122.85,Seattle,210.98.198.143,Online,47,Doctor,127,3,13185.39
TX002125,2023-01-03 16:28:03,737.46,Albuquerque,202.194.199.70,Branch,53,Doctor,75,4,634.16
TX002150,2023-02-28 17:45:06,1250.94,Columbus,35.67.21.23,ATM,36,Doctor,107,2,11565.97
TX002272,2023-11-29 18:03:46,308.85,Los Angeles,116.43.88.219,Branch,20,Student,33,2,333.19
TX002282,2023-10-20 16:29:44,589.89,Jacksonville,88.55.149.101,Branch,56,Engineer,213,3,9404.63
TX002311,2023-03-14 17:06:18,176.52,San Diego,223.32.70.156,Online,73,Retired,94,5,7132.08
TX002331,2023-01-11 16:09:36,69.38,Detroit,22.196.202.183,Branch,69,Doctor,280,2,12072.11
TX002358,2023-03-02 17:02:57,361.38,Milwaukee,60.89.202.192,Online,72,Retired,71,3,4972.92
TX002424,2023-06-21 16:38:54,332.06,Seattle,94.37.250.128,ATM,29,Doctor,221,4,11826.52
TX002446,2023-09-04 17:32:35,403.01,Washington,223.32.70.156,Online,63,Doctor,286,3,10513.52
TX002456,2023-05-05 16:52:44,655.81,Omaha,86.83.61.143,ATM,55,Retired,164,2,4539.99
TX002458,2023-02-06 17:32:11,79.92,Miami,42.3.3.101,ATM,44,Engineer,274,2,9138.76
